,CHLA,ALK,TDP,TDN,K,MG,SRSI,MN,CL,FE,SO4,DOC,NO3,PARTN,NA,COND,NH3,DIC,PARTP,PH,CA,NO2,PARTC,SECCHI_DEPTHS,MEAN_DAILY_DISCHARGE,clusters
78,1.6475,165.0,2.0,212.0,0.42,0.79,1.918,0.0,0.23,0.0,2.1,623.0,1.0,45.0,1.08,27.0,17.0,159.0,4.0,7.45,2.78,1.0,790.0,4.25,0.0154,0
79,2.11,351.0,3.5,239.5,0.44,0.775,1.9275,0.0,0.23,0.0,2.08,524.007665,1.0,38.5,1.085,26.5,17.0,175.0,4.0,7.25,2.85,0.0,663.5,4.75,0.004,0
80,1.6475,283.0,18.0,741.0,0.27,1.39,7.161,0.0,0.11,0.67,0.8,2285.83605,9.0,17.0,1.88,39.0,17.0,410.0,6.0,6.26,5.57,2.0,669.0,4.25,0.002,3
81,1.6475,0.0,18.0,870.0,0.15,0.87,4.903,0.0,0.14,0.95,0.17,4666.41844,0.0,45.0,0.88,43.0,17.0,317.0,5.0,4.22,2.62,5.0,1335.0,4.25,0.0,1
82,1.6475,60.0,10.0,655.0,0.02,0.69,5.293,0.0,0.25,0.68,0.7,2400.99899,1.0,66.0,0.97,23.0,17.0,241.0,7.0,5.13,2.32,2.0,1268.0,4.25,0.0001,2
83,1.6475,165.0,3.0,221.0,0.42,0.79,1.933,0.0,0.25,0.0,2.15,621.0,1.0,47.0,1.09,26.0,17.0,162.0,4.0,7.51,2.77,0.0,850.0,4.25,0.0068,0
84,2.735,277.0,2.0,256.0,0.355,0.81,0.292,0.0,0.17,0.01,1.235,631.5,1.0,27.0,0.665,20.0,17.0,129.5,3.5,7.06,1.915,0.0,527.0,4.25,0.004,0
85,1.6475,60.0,10.0,694.0,0.11,0.67,5.875,0.0,0.31,0.7,0.62,2425.0,3.0,63.0,1.08,21.0,17.0,359.0,6.0,5.12,2.08,2.0,1117.0,4.25,0.0,2
86,1.6475,164.0,2.0,258.0,0.42,0.8,1.909,0.0,0.25,0.0,2.05,616.0,1.0,41.0,1.14,26.0,17.0,169.0,4.0,7.22,2.76,0.0,839.0,4.25,0.0036,0
87,2.525,342.0,2.0,251.5,0.445,0.805,1.916,0.0,0.27,0.0,2.13,626.5,1.0,25.0,1.11,27.5,17.0,186.5,4.0,7.14,2.81,0.0,561.5,5.25,0.004,0
88,1.6475,170.0,2.0,247.0,0.43,0.8,1.903,0.0,0.27,0.0,2.15,609.0,1.0,33.0,1.1,27.0,17.0,168.0,4.0,7.26,2.78,0.0,760.0,4.25,0.0015,0
89,3.255,270.0,3.0,262.0,0.36,0.77,0.229,0.0,0.2,0.0,1.3,615.0,1.0,25.5,0.64,20.0,17.0,145.0,4.0,6.97,1.88,0.0,605.5,4.25,0.004,0
90,0.99,175.0,2.0,186.0,0.35,0.58,0.545,0.0,0.19,0.0,1.6,351.0,1.0,39.15,0.65,24.0,17.0,177.0,4.0,7.29,2.6,0.0,454.25,6.0,0.004,0
91,1.6475,214.0,16.0,1103.0,0.44,1.56,7.677,0.0,0.62,0.59,1.72,1939.0,470.0,39.15,2.25,42.0,17.0,300.0,4.0,6.41,5.25,3.0,454.25,4.25,0.009,3
92,1.6475,0.0,14.0,901.0,0.09,1.22,5.406,0.0,0.19,0.97,0.43,5931.0,0.0,39.15,0.84,54.0,17.0,308.0,4.0,4.07,3.35,5.0,454.25,4.25,0.0019,1
93,1.6475,43.0,17.0,734.0,0.1,0.86,7.884,0.0,0.44,0.77,0.55,2821.0,10.0,39.15,1.02,26.0,17.0,431.0,4.0,4.96,2.8,3.0,454.25,4.25,0.0016,2
94,1.6475,170.0,3.0,209.0,0.38,0.86,1.965,0.0,0.25,0.0,1.73,582.0,2.0,39.15,0.98,28.0,17.0,196.0,7.0,6.97,3.05,0.0,454.25,4.25,0.0004,0
95,1.6475,190.0,12.0,763.0,0.33,1.3,7.759,0.0,0.37,0.64,0.99,2402.0,80.0,39.15,2.09,35.0,17.0,242.0,4.0,6.34,4.67,2.0,454.25,4.25,0.008,3
96,1.6475,46.0,11.0,698.0,0.11,0.86,7.845,0.0158,0.4,0.78,0.73,2721.0,9.0,39.15,1.24,24.0,17.0,435.0,3.0,5.04,2.69,3.0,454.25,4.25,0.0005,2
97,1.6475,179.0,3.0,218.0,0.46,0.89,2.006,0.0,0.25,0.0,1.39,584.0,9.0,39.15,1.17,28.0,17.0,212.0,7.0,6.83,2.99,0.0,454.25,4.25,0.0037,0
